receiveTime,cpm,cpmError
2015-11-03 10:28:37,1.2,0.489898
2015-11-03 10:38:38,1.0,0.447214
2015-11-03 10:48:43,2.0,0.632456
2015-11-03 10:53:44,1.8,0.6
2015-11-03 10:58:44,1.2,0.489898
2015-11-03 11:03:44,1.6,0.565685
2015-11-03 11:08:45,2.2,0.663325
2015-11-03 11:13:45,1.6,0.565685
2015-11-03 11:18:46,1.4,0.52915
2015-11-03 11:23:46,1.8,0.6
2015-11-03 11:28:47,3.2,0.8
2015-11-03 11:33:47,2.2,0.663325
2015-11-03 11:38:47,1.4,0.52915
2015-11-03 11:43:38,2.4,0.69282
2015-11-03 11:48:38,2.2,0.663325
2015-11-03 12:08:32,3.4,0.824621
2015-11-03 12:13:32,2.4,0.69282
2015-11-03 12:18:33,3.6,0.848528
2015-11-03 12:28:37,1.8,0.6
2015-11-03 12:33:37,1.6,0.565685
2015-11-03 12:38:38,0.8,0.4
2015-11-03 12:43:38,2.4,0.69282
2015-11-03 12:48:38,2.6,0.72111
2015-11-03 12:53:39,2.4,0.69282
2015-11-03 12:58:39,1.4,0.52915
2015-11-03 13:03:40,3.2,0.8
2015-11-03 13:08:40,1.8,0.6
2015-11-03 13:13:40,1.6,0.565685
2015-11-03 13:18:41,1.4,0.52915
2015-11-03 13:23:41,2.2,0.663325
2015-11-03 13:28:32,1.2,0.489898
2015-11-03 13:33:32,2.8,0.748331
2015-11-03 13:38:33,2.6,0.72111
2015-11-03 13:43:33,2.0,0.632456
2015-11-03 13:48:33,2.2,0.663325
2015-11-03 13:53:34,3.4,0.824621
2015-11-03 13:58:34,2.4,0.69282
2015-11-03 14:03:35,2.8,0.748331
2015-11-03 14:08:35,2.2,0.663325
2015-11-03 14:13:35,2.6,0.72111
2015-11-03 14:18:36,1.6,0.565685
2015-11-03 14:23:36,1.4,0.52915
2015-11-03 14:28:37,1.8,0.6
2015-11-03 14:33:37,1.2,0.489898
2015-11-03 14:38:38,1.8,0.6
2015-11-03 14:43:38,2.0,0.632456
2015-11-03 14:48:38,2.2,0.663325
2015-11-03 14:53:39,2.0,0.632456
2015-11-03 14:58:39,2.0,0.632456
2015-11-03 15:03:40,1.6,0.565685
2015-11-03 15:08:40,2.6,0.72111
2015-11-03 15:13:40,2.8,0.748331
2015-11-03 15:18:41,2.4,0.69282
2015-11-03 15:23:31,1.2,0.489898
2015-11-03 15:28:32,1.2,0.489898
2015-11-03 15:33:32,2.2,0.663325
2015-11-03 15:38:33,2.4,0.69282
2015-11-03 15:43:33,1.8,0.6
2015-11-03 15:48:33,0.8,0.4
2015-11-03 15:53:34,1.4,0.52915
2015-11-03 15:58:34,2.2,0.663325
2015-11-03 16:03:35,2.2,0.663325
2015-11-03 16:08:35,1.4,0.52915
2015-11-03 16:13:36,1.6,0.565685
2015-11-03 16:18:36,2.0,0.632456
2015-11-03 16:23:36,2.4,0.69282
2015-11-03 16:28:37,1.4,0.52915
2015-11-03 16:33:37,2.6,0.72111
2015-11-03 16:38:38,1.0,0.447214
2015-11-03 16:43:38,3.0,0.774597
2015-11-03 16:48:39,1.8,0.6
2015-11-03 16:53:39,1.6,0.565685
2015-11-03 16:58:39,2.0,0.632456
2015-11-03 17:03:40,1.4,0.52915
2015-11-03 17:08:40,3.0,0.774597
2015-11-03 17:13:41,2.2,0.663325
2015-11-03 17:18:41,1.8,0.6
2015-11-03 17:23:31,1.6,0.565685
2015-11-03 17:28:32,1.0,0.447214
2015-11-03 17:33:32,2.0,0.632456
2015-11-03 17:38:33,2.8,0.748331
2015-11-03 17:43:33,1.8,0.6
2015-11-03 17:48:34,2.8,0.748331
2015-11-03 17:53:34,2.6,0.72111
2015-11-03 17:58:35,2.0,0.632456
2015-11-03 18:03:35,2.4,0.69282
2015-11-03 18:08:35,2.0,0.632456
2015-11-03 18:13:36,3.0,0.774597
2015-11-03 18:18:36,1.6,0.565685
2015-11-03 18:23:37,3.0,0.774597
2015-11-03 18:28:37,2.8,0.748331
2015-11-03 18:33:37,2.8,0.748331
2015-11-03 18:38:38,3.8,0.87178
2015-11-03 18:43:38,1.6,0.565685
2015-11-03 18:48:39,2.8,0.748331
2015-11-03 18:53:39,1.8,0.6
2015-11-03 18:58:40,3.0,0.774597
2015-11-03 19:03:40,2.4,0.69282
2015-11-03 19:08:41,1.0,0.447214
2015-11-03 19:13:41,1.8,0.6
2015-11-03 19:18:31,1.6,0.565685
2015-11-03 19:23:32,2.6,0.72111
2015-11-03 19:28:32,1.6,0.565685
2015-11-03 19:33:33,1.6,0.565685
2015-11-03 19:38:33,3.0,0.774597
2015-11-03 19:43:33,1.4,0.52915
2015-11-03 19:48:34,2.8,0.748331
2015-11-03 19:53:34,1.8,0.6
2015-11-03 19:58:35,1.4,0.52915
2015-11-03 20:03:35,1.6,0.565685
2015-11-03 20:08:36,2.4,0.69282
2015-11-03 20:13:36,2.0,0.632456
2015-11-03 20:18:36,3.4,0.824621
2015-11-03 20:23:37,2.8,0.748331
2015-11-03 20:28:37,1.2,0.489898
2015-11-03 20:33:38,2.0,0.632456
2015-11-03 20:38:38,2.2,0.663325
2015-11-03 20:43:39,2.0,0.632456
2015-11-03 20:48:39,2.6,0.72111
2015-11-03 20:53:39,2.4,0.69282
2015-11-03 20:58:40,1.4,0.52915
2015-11-03 21:03:40,2.6,0.72111
2015-11-03 21:08:41,2.8,0.748331
2015-11-03 21:13:41,1.4,0.52915
2015-11-03 21:18:32,2.4,0.69282
2015-11-03 21:23:32,2.4,0.69282
2015-11-03 21:28:32,2.6,0.72111
2015-11-03 21:33:33,1.8,0.6
2015-11-03 21:38:33,0.8,0.4
2015-11-03 21:43:34,2.0,0.632456
2015-11-03 21:48:34,2.4,0.69282
2015-11-03 21:53:35,2.6,0.72111
2015-11-03 21:58:35,1.8,0.6
2015-11-03 22:03:35,3.4,0.824621
2015-11-03 22:08:36,1.4,0.52915
2015-11-03 22:13:36,1.4,0.52915
2015-11-03 22:18:37,2.4,0.69282
2015-11-03 22:23:37,2.2,0.663325
2015-11-03 22:28:38,2.0,0.632456
2015-11-03 22:33:38,1.4,0.52915
2015-11-03 22:38:39,1.8,0.6
2015-11-03 22:43:39,1.6,0.565685
2015-11-03 22:48:39,2.0,0.632456
2015-11-03 22:53:40,3.0,0.774597
2015-11-03 22:58:40,1.8,0.6
2015-11-03 23:03:41,1.6,0.565685
2015-11-03 23:08:41,2.2,0.663325
2015-11-03 23:13:32,1.8,0.6
2015-11-03 23:18:32,1.6,0.565685
2015-11-03 23:23:33,1.8,0.6
2015-11-03 23:28:33,1.0,0.447214
2015-11-03 23:33:33,3.0,0.774597
2015-11-03 23:38:34,2.6,0.72111
2015-11-03 23:43:34,1.8,0.6
2015-11-03 23:48:35,1.4,0.52915
2015-11-03 23:53:35,2.0,0.632456
2015-11-03 23:58:36,2.6,0.72111
2015-11-04 00:03:36,3.0,0.774597
2015-11-04 00:08:36,2.2,0.663325
2015-11-04 00:13:37,1.4,0.52915
2015-11-04 00:18:37,2.4,0.69282
2015-11-04 00:23:38,2.4,0.69282
2015-11-04 00:28:38,1.6,0.565685
2015-11-04 00:33:39,2.4,0.69282
2015-11-04 00:38:39,2.4,0.69282
2015-11-04 00:43:39,1.8,0.6
2015-11-04 00:48:40,1.8,0.6
