receiveTime,cpm,cpmError
2015-11-02 17:44:08,1.8,0.6
2015-11-02 17:49:08,1.6,0.565685
2015-11-02 17:54:09,2.0,0.632456
2015-11-02 17:59:09,1.2,0.489898
2015-11-02 18:04:10,1.2,0.489898
2015-11-02 18:09:10,0.6,0.34641
2015-11-02 18:14:11,1.8,0.6
2015-11-02 18:19:11,1.2,0.489898
2015-11-02 18:24:12,0.6,0.34641
2015-11-02 18:29:12,0.6,0.34641
2015-11-02 18:34:13,0.6,0.34641
2015-11-02 18:39:13,1.0,0.447214
2015-11-02 18:44:14,1.6,0.565685
2015-11-02 18:49:14,1.0,0.447214
2015-11-02 18:54:15,1.2,0.489898
2015-11-02 18:59:15,1.2,0.489898
2015-11-02 19:04:06,1.4,0.52915
2015-11-02 19:09:06,1.2,0.489898
2015-11-02 19:14:07,1.6,0.565685
2015-11-02 19:19:07,2.4,0.69282
2015-11-02 19:24:08,1.2,0.489898
2015-11-02 19:29:08,1.6,0.565685
2015-11-02 19:34:09,0.4,0.282843
2015-11-02 19:39:09,1.2,0.489898
2015-11-02 19:44:10,1.4,0.52915
2015-11-02 19:49:10,1.0,0.447214
2015-11-02 19:54:11,1.6,0.565685
2015-11-02 19:59:11,0.8,0.4
2015-11-02 20:04:12,1.4,0.52915
2015-11-02 20:09:12,1.0,0.447214
2015-11-02 20:14:13,1.8,0.6
2015-11-02 20:19:14,1.2,0.489898
2015-11-02 20:24:14,0.8,0.4
2015-11-02 20:29:15,1.0,0.447214
2015-11-02 20:34:15,1.2,0.489898
2015-11-02 20:39:15,1.8,0.6
2015-11-02 20:44:06,0.8,0.4
2015-11-02 20:49:06,2.0,0.632456
2015-11-02 20:54:07,0.4,0.282843
2015-11-02 20:59:07,2.0,0.632456
2015-11-02 21:04:08,1.8,0.6
2015-11-02 21:09:08,0.6,0.34641
2015-11-02 21:14:09,1.2,0.489898
2015-11-02 21:19:09,1.2,0.489898
2015-11-02 21:24:10,1.0,0.447214
2015-11-02 21:29:10,1.6,0.565685
2015-11-02 21:34:11,0.8,0.4
2015-11-02 21:39:11,0.2,0.2
2015-11-02 21:44:12,0.2,0.2
2015-11-02 21:49:12,0.4,0.282843
2015-11-02 21:54:13,1.2,0.489898
2015-11-02 21:59:13,0.8,0.4
2015-11-02 22:04:14,0.2,0.2
2015-11-02 22:09:14,1.4,0.52915
2015-11-02 22:14:15,0.6,0.34641
2015-11-02 22:19:15,1.8,0.6
2015-11-02 22:24:16,1.2,0.489898
2015-11-02 22:29:06,1.6,0.565685
2015-11-02 22:34:07,1.0,0.447214
2015-11-02 22:39:07,2.0,0.632456
