receiveTime,cpm,cpmError
2015-11-19 18:27:13,4.0,0.894427
2015-11-19 18:32:13,2.8,0.748331
2015-11-19 18:37:15,3.4,0.824621
2015-11-19 18:42:15,2.4,0.69282
2015-11-19 18:47:16,3.4,0.824621
2015-11-19 18:52:16,1.8,0.6
2015-11-19 18:57:07,3.2,0.8
2015-11-19 19:02:07,3.0,0.774597
2015-11-19 19:07:08,1.8,0.6
2015-11-19 19:12:08,2.8,0.748331
2015-11-19 19:17:09,1.4,0.52915
2015-11-19 19:22:10,2.4,0.69282
2015-11-19 19:27:10,1.4,0.52915
2015-11-19 19:32:11,3.4,0.824621
2015-11-19 19:37:11,2.2,0.663325
2015-11-19 19:42:12,2.8,0.748331
2015-11-19 19:47:12,1.8,0.6
2015-11-19 19:52:13,4.4,0.938083
2015-11-19 19:57:13,2.6,0.72111
2015-11-19 20:02:14,3.2,0.8
2015-11-19 20:07:14,2.2,0.663325
2015-11-19 20:12:15,2.8,0.748331
2015-11-19 20:17:15,3.0,0.774597
2015-11-19 20:22:16,2.8,0.748331
2015-11-19 20:27:06,4.0,0.894427
2015-11-19 20:32:07,2.4,0.69282
2015-11-19 20:37:07,2.2,0.663325
2015-11-19 20:42:08,2.4,0.69282
2015-11-19 20:47:08,1.8,0.6
2015-11-19 20:52:09,3.4,0.824621
2015-11-19 20:57:09,2.8,0.748331
2015-11-19 21:02:10,2.8,0.748331
2015-11-19 21:07:10,2.2,0.663325
2015-11-19 21:12:11,2.0,0.632456
2015-11-19 21:17:12,3.2,0.8
2015-11-19 21:22:12,3.2,0.8
2015-11-19 21:27:13,3.8,0.87178
2015-11-19 21:32:13,1.4,0.52915
2015-11-19 21:37:13,2.6,0.72111
2015-11-19 21:42:14,3.4,0.824621
2015-11-19 21:47:14,4.4,0.938083
2015-11-19 21:52:15,2.4,0.69282
2015-11-19 21:57:15,2.4,0.69282
2015-11-19 22:02:16,2.6,0.72111
2015-11-19 22:07:06,3.2,0.8
2015-11-19 22:12:07,3.6,0.848528
2015-11-19 22:17:07,2.0,0.632456
2015-11-19 22:22:08,1.8,0.6
2015-11-19 22:27:08,2.6,0.72111
2015-11-19 22:32:09,3.0,0.774597
2015-11-19 22:37:09,3.6,0.848528
2015-11-19 22:42:10,3.4,0.824621
2015-11-19 22:47:10,2.4,0.69282
2015-11-19 22:52:11,2.8,0.748331
2015-11-19 22:57:11,2.4,0.69282
2015-11-19 23:02:12,1.6,0.565685
2015-11-19 23:07:12,4.0,0.894427
2015-11-19 23:12:13,2.4,0.69282
2015-11-19 23:17:13,2.4,0.69282
2015-11-19 23:22:14,3.0,0.774597
2015-11-19 23:27:14,2.6,0.72111
2015-11-19 23:32:15,2.2,0.663325
2015-11-19 23:37:15,3.4,0.824621
2015-11-19 23:42:16,2.8,0.748331
2015-11-19 23:47:06,3.0,0.774597
2015-11-19 23:52:07,2.8,0.748331
2015-11-19 23:57:07,4.2,0.916515
2015-11-20 00:02:08,2.0,0.632456
2015-11-20 00:07:09,2.0,0.632456
2015-11-20 00:12:09,3.0,0.774597
2015-11-20 00:17:10,2.6,0.72111
2015-11-20 00:22:10,2.6,0.72111
2015-11-20 00:27:11,3.2,0.8
2015-11-20 00:32:11,3.2,0.8
