receiveTime,cpm,cpmError
2015-11-17 16:42:13,2.0,0.632456
2015-11-17 16:47:13,2.2,0.663325
2015-11-17 16:52:13,1.6,0.565685
2015-11-17 16:57:14,2.6,0.72111
2015-11-17 17:02:14,3.2,0.8
2015-11-17 17:07:15,2.6,0.72111
2015-11-17 17:12:15,1.6,0.565685
2015-11-17 17:17:15,2.8,0.748331
2015-11-17 17:22:16,3.4,0.824621
2015-11-17 17:27:16,2.6,0.72111
2015-11-17 17:32:17,2.8,0.748331
2015-11-17 17:37:07,2.8,0.748331
2015-11-17 17:42:07,2.4,0.69282
2015-11-17 17:47:08,3.0,0.774597
2015-11-17 17:52:08,2.4,0.69282
2015-11-17 17:57:09,4.4,0.938083
2015-11-17 18:02:09,2.6,0.72111
2015-11-17 18:07:10,2.8,0.748331
2015-11-17 18:12:10,3.0,0.774597
2015-11-17 18:17:10,4.0,0.894427
2015-11-17 18:22:11,1.8,0.6
2015-11-17 18:27:11,2.6,0.72111
2015-11-17 18:32:12,4.2,0.916515
2015-11-17 18:37:12,4.0,0.894427
2015-11-17 18:42:12,3.2,0.8
2015-11-17 18:47:13,2.2,0.663325
2015-11-17 18:52:13,3.0,0.774597
2015-11-17 18:57:14,2.8,0.748331
2015-11-17 19:02:14,2.8,0.748331
2015-11-17 19:07:15,2.6,0.72111
2015-11-17 19:12:15,2.6,0.72111
2015-11-17 19:17:15,3.2,0.8
2015-11-17 19:22:16,2.6,0.72111
2015-11-17 19:27:16,2.6,0.72111
2015-11-17 19:32:17,2.4,0.69282
2015-11-17 19:37:07,3.4,0.824621
2015-11-17 19:42:07,2.8,0.748331
2015-11-17 19:47:08,3.4,0.824621
2015-11-17 19:52:08,1.8,0.6
2015-11-17 19:57:09,3.2,0.8
2015-11-17 20:02:09,1.2,0.489898
2015-11-17 20:07:10,2.6,0.72111
2015-11-17 20:12:10,3.0,0.774597
2015-11-17 20:17:10,4.4,0.938083
2015-11-17 20:22:11,2.8,0.748331
2015-11-17 20:27:11,3.6,0.848528
2015-11-17 20:32:12,2.6,0.72111
2015-11-17 20:37:12,4.2,0.916515
2015-11-17 20:42:12,4.2,0.916515
2015-11-17 20:47:13,3.2,0.8
2015-11-17 20:52:13,2.6,0.72111
2015-11-17 20:57:14,3.0,0.774597
2015-11-17 21:02:14,2.6,0.72111
